CO_ANO,CO_MES,nick,SG_UF_NCM,CO_PAIS,CO_URF,KG_LIQUIDO,VL_FOB
1997,1,MOP_k,RS,149,417600,6600000.0,1656572.0
1997,1,MOP_k,RS,383,1015400,3856419.0,1089848.0
1997,1,MOP_k,SP,23,817800,3700000.0,986400.0
1997,1,MOP_k,SP,999,817800,13100000.0,3459400.0
1997,1,SAM_k,GO,23,817800,1900000.0,368600.0
1997,1,SAM_k,MG,23,817800,2815000.0,532110.0
1997,1,SAM_k,MG,87,817800,3000000.0,582000.0
1997,1,SAM_k,MG,249,817800,4300000.0,844100.0
1997,1,SAM_k,RS,603,417600,1000000.0,206000.0
1997,1,SAM_k,SP,23,817800,2432150.0,471838.0
1997,1,SAM_k,SP,87,817800,3000000.0,582000.0
1997,1,SAM_k,SP,249,817800,11350000.0,2199100.0
1997,1,SAM_k,ZN,603,920151,3071000.0,644910.0
1997,1,SAM_k,ZN,676,417600,1575000.0,324450.0
1997,2,MAP_k,SP,676,817800,1575000.0,749700.0
1997,2,MOP_k,MG,23,817800,6500000.0,1733000.0
1997,2,MOP_k,MG,149,817800,11638000.0,3096536.0
1997,2,MOP_k,PR,23,915100,2000000.0,564000.0
1997,2,MOP_k,RS,149,1010500,3009686.0,728344.0
1997,2,MOP_k,SP,23,817800,3000000.0,855000.0
1997,2,MOP_k,SP,149,817800,20017722.0,5274628.0
1997,2,SAM_k,GO,603,817800,1000000.0,204750.0
1997,2,SAM_k,MG,603,817800,5967897.0,1049552.0
1997,2,SAM_k,PR,249,915100,1481250.0,337724.0
1997,2,SAM_k,PR,573,1010500,575287.0,112690.0
1997,2,SAM_k,RS,573,1010500,9792435.0,2045496.0
1997,2,SAM_k,SP,603,817800,9613691.0,1887020.0
1997,2,SAM_k,ZN,603,817800,1100000.0,241060.0
1997,2,UREIA_k,RS,85,1015400,3832500.0,1568880.0
1997,2,UREIA_k,RS,676,1015400,3509688.0,1404068.0
1997,3,MAP_k,GO,676,727600,3000000.0,1353000.0
1997,3,MAP_k,RS,676,1015400,5682460.0,2480394.0
1997,3,MAP_k,ZN,999,440100,600000.0,274800.0
1997,3,MOP_k,GO,149,727600,6000000.0,1632000.0
1997,3,MOP_k,PR,23,915100,12990450.0,3603354.0
1997,3,MOP_k,PR,383,915100,8503310.0,2314184.0
1997,3,MOP_k,SP,149,817800,10154000.0,2721720.0
1997,3,SAM_k,BA,249,510100,4003056.0,771588.0
1997,3,SAM_k,BA,249,517600,2001528.0,388296.0
1997,3,SAM_k,MG,23,727600,3008400.0,601680.0
1997,3,SAM_k,MG,23,817800,2500000.0,485000.0
1997,3,SAM_k,MG,249,915100,2099060.0,407218.0
1997,3,SAM_k,MG,603,817800,9653458.0,2007756.0
1997,3,SAM_k,PR,23,915100,1301660.0,252522.0
1997,3,SAM_k,PR,87,915100,4071370.0,789846.0
1997,3,SAM_k,PR,249,915100,4035930.0,904048.0
1997,3,SAM_k,PR,603,915100,5020440.0,1034210.0
1997,3,SAM_k,SP,23,817800,10651000.0,2024294.0
1997,3,SAM_k,SP,603,817800,12330931.0,2553170.0
1997,3,SAM_k,SP,999,817800,4190000.0,773402.0
1997,3,SAM_k,ZN,23,727600,2005600.0,371036.0
1997,3,SAM_k,ZN,249,417600,1950000.0,378300.0
1997,3,SAM_k,ZN,249,510100,2001528.0,388296.0
1997,3,UREIA_k,GO,999,727600,1050000.0,380100.0
1997,3,UREIA_k,ZN,676,440100,2398100.0,954444.0
1997,4,MAP_k,BA,676,510100,3515344.0,1568060.0
1997,4,MAP_k,GO,831,915100,3013880.0,1163690.0
1997,4,MAP_k,PR,676,915100,3793170.0,1502158.0
1997,4,MAP_k,PR,831,915100,6059020.0,2761088.0
1997,4,MAP_k,RS,249,1010500,10426715.0,4274954.0
1997,4,MAP_k,RS,676,1010500,2001362.0,916984.0
1997,4,MAP_k,RS,676,1015400,2626794.0,1955330.0
1997,4,MAP_k,ZN,676,440100,6226980.0,2771372.0
1997,4,MAP_k,ZN,676,517600,2979682.0,1346576.0
1997,4,MAP_k,ZN,676,727600,831000.0,348190.0
1997,4,MOP_k,BA,676,517600,4025970.0,1028636.0
1997,4,MOP_k,BA,999,510100,1973189.0,509082.0
1997,4,MOP_k,MG,23,817800,4700000.0,1274400.0
1997,4,MOP_k,MG,149,817800,22250000.0,5862800.0
1997,4,MOP_k,MG,383,817800,2200000.0,588400.0
1997,4,MOP_k,PR,23,915100,19609620.0,5336278.0
1997,4,MOP_k,PR,249,915100,4092090.0,1045592.0
1997,4,MOP_k,PR,676,915100,4922170.0,1214860.0
1997,4,MOP_k,RS,23,1015400,7996906.0,2215138.0
1997,4,MOP_k,RS,149,1010500,6891331.0,1736616.0
1997,4,MOP_k,SP,23,817800,17800000.0,4829600.0
1997,4,MOP_k,SP,149,817800,41281416.0,10876746.0
1997,4,MOP_k,SP,249,817800,2002260.0,569770.0
1997,4,MOP_k,SP,383,817800,16300000.0,4303600.0
1997,4,MOP_k,ZN,23,717600,3543470.0,1063040.0
1997,4,MOP_k,ZN,149,520100,2500000.0,647500.0
1997,4,MOP_k,ZN,676,727600,5250000.0,1501500.0
1997,4,SAM_k,BA,23,510100,4121450.0,807568.0
1997,4,SAM_k,BA,23,517600,2024292.0,433198.0
1997,4,SAM_k,BA,249,510100,4903750.0,951292.0
1997,4,SAM_k,MG,23,817800,2100000.0,420000.0
1997,4,SAM_k,MG,249,727600,1615000.0,313310.0
1997,4,SAM_k,MG,249,817800,6175000.0,1199850.0
