CO_ANO,CO_MES,date,KG_LIQUIDO,VL_FOB
1997,4,1997-04-01,4025970,1028636
1997,5,1997-05-01,2610389,660428
1997,6,1997-06-01,0,0
1997,7,1997-07-01,5549943,1453386
1997,8,1997-08-01,10823780,2778760
1997,9,1997-09-01,2600000,624000
1997,10,1997-10-01,24144625,6193242
1997,11,1997-11-01,10742193,2905814
1997,12,1997-12-01,13208102,3613626
1998,1,1998-01-01,0,0
1998,2,1998-02-01,0,0
1998,3,1998-03-01,0,0
1998,4,1998-04-01,8049864,2160464
1998,5,1998-05-01,18366641,5047790
1998,6,1998-06-01,3500000,987000
1998,7,1998-07-01,9865000,2732580
1998,8,1998-08-01,7997608,2251572
1998,9,1998-09-01,4063000,1155713
1998,10,1998-10-01,15586580,4243121
1998,11,1998-11-01,10003000,2543809
1998,12,1998-12-01,6000000,1724628
1999,1,1999-01-01,0,0
1999,2,1999-02-01,2486015,697885
1999,3,1999-03-01,0,0
1999,4,1999-04-01,0,0
1999,5,1999-05-01,0,0
1999,6,1999-06-01,11079249,2938195
1999,7,1999-07-01,0,0
1999,8,1999-08-01,4500000,1222475
1999,9,1999-09-01,15049960,3946110
1999,10,1999-10-01,19500000,5105241
1999,11,1999-11-01,14229716,3690147
1999,12,1999-12-01,23066131,5937350
2000,1,2000-01-01,2500000,639423
2000,2,2000-02-01,3037724,795423
2000,3,2000-03-01,0,0
2000,4,2000-04-01,4199530,1103876
2000,5,2000-05-01,0,0
2000,6,2000-06-01,0,0
2000,7,2000-07-01,12500000,3340461
2000,8,2000-08-01,27352719,7142301
2000,9,2000-09-01,4554049,1172831
2000,10,2000-10-01,18726114,4975256
2000,11,2000-11-01,20024980,5090492
2000,12,2000-12-01,3061420,784134
2001,1,2001-01-01,0,0
2001,2,2001-02-01,0,0
2001,3,2001-03-01,0,0
2001,4,2001-04-01,0,0
2001,5,2001-05-01,3500000,925756
2001,6,2001-06-01,12501268,3299383
2001,7,2001-07-01,0,0
2001,8,2001-08-01,33429669,7901240
2001,9,2001-09-01,51270154,12311132
2001,10,2001-10-01,10445237,2495949
2001,11,2001-11-01,15247424,3624713
2001,12,2001-12-01,0,0
2002,1,2002-01-01,0,0
2002,2,2002-02-01,5116688,1272962
2002,3,2002-03-01,0,0
2002,4,2002-04-01,3900000,857969
2002,5,2002-05-01,13187676,3047200
2002,6,2002-06-01,13048321,2857178
2002,7,2002-07-01,34733569,7536281
2002,8,2002-08-01,34240350,7520031
2002,9,2002-09-01,0,0
2002,10,2002-10-01,11375597,2451235
2002,11,2002-11-01,18342590,4033720
2002,12,2002-12-01,0,0
2003,1,2003-01-01,0,0
2003,2,2003-02-01,4027538,944779
2003,3,2003-03-01,7079036,1437072
2003,4,2003-04-01,5775460,1158884
2003,5,2003-05-01,15832788,3415243
2003,6,2003-06-01,13371641,3040390
2003,7,2003-07-01,31745000,6927792
2003,8,2003-08-01,0,0
2003,9,2003-09-01,60971081,13318416
2003,10,2003-10-01,11611437,2602692
2003,11,2003-11-01,17651268,3251142
2003,12,2003-12-01,17457572,3872387
2004,1,2004-01-01,16929409,3309988
2004,2,2004-02-01,8293555,1977656
2004,3,2004-03-01,15825136,3029147
2004,4,2004-04-01,11540000,2541724
2004,5,2004-05-01,6521600,1500557
2004,6,2004-06-01,7132961,1677396
2004,7,2004-07-01,32968685,8485157
2004,8,2004-08-01,35849438,10169890
2004,9,2004-09-01,67228967,19461152
2004,10,2004-10-01,21789189,6423772
2004,11,2004-11-01,11833492,3537622
2004,12,2004-12-01,5752670,1717714
2005,1,2005-01-01,2883566,820758
2005,2,2005-02-01,0,0
2005,3,2005-03-01,0,0
2005,4,2005-04-01,0,0
2005,5,2005-05-01,0,0
2005,6,2005-06-01,3801676,1296759
2005,7,2005-07-01,4007943,1344750
2005,8,2005-08-01,28147385,9237313
2005,9,2005-09-01,18437087,6156141
2005,10,2005-10-01,9974000,3425297
2005,11,2005-11-01,44093200,14525325
2005,12,2005-12-01,8993305,3022861
2006,1,2006-01-01,3717480,1169167
2006,2,2006-02-01,0,0
2006,3,2006-03-01,8686936,2524488
2006,4,2006-04-01,11030538,3251409
2006,5,2006-05-01,7004215,2044346
2006,6,2006-06-01,7233771,2048073
2006,7,2006-07-01,3850000,1166477
2006,8,2006-08-01,33081126,9260419
2006,9,2006-09-01,6309460,1724458
2006,10,2006-10-01,36712549,10525487
2006,11,2006-11-01,6092341,1739857
2006,12,2006-12-01,0,0
2007,1,2007-01-01,8155584,2183918
2007,2,2007-02-01,0,0
2007,3,2007-03-01,7260725,2057877
2007,4,2007-04-01,6038408,1990128
2007,5,2007-05-01,14220000,4793376
2007,6,2007-06-01,23073019,8215776
2007,7,2007-07-01,11381024,3538985
2007,8,2007-08-01,41864348,15860194
2007,9,2007-09-01,20483595,8381835
2007,10,2007-10-01,21802567,9216864
2007,11,2007-11-01,21195623,8806089
2007,12,2007-12-01,31650855,13457846
2008,1,2008-01-01,26951859,13468599
2008,2,2008-02-01,0,0
2008,3,2008-03-01,0,0
2008,4,2008-04-01,10772051,7378407
2008,5,2008-05-01,47509101,35127636
2008,6,2008-06-01,10002175,8729991
2008,7,2008-07-01,21260626,20826284
2008,8,2008-08-01,44432730,48607965
2008,9,2008-09-01,23530899,29848480
2008,10,2008-10-01,36277698,49695092
2008,11,2008-11-01,0,0
2008,12,2008-12-01,0,0
2009,1,2009-01-01,0,0
2009,2,2009-02-01,0,0
2009,3,2009-03-01,0,0
2009,4,2009-04-01,5043680,5555917
2009,5,2009-05-01,0,0
2009,6,2009-06-01,32499430,36074028
2009,7,2009-07-01,0,0
2009,8,2009-08-01,37993477,33245676
2009,9,2009-09-01,25277679,20621210
2009,10,2009-10-01,7003360,4933671
2009,11,2009-11-01,15300000,11496165
2009,12,2009-12-01,0,0
2010,1,2010-01-01,12190943,7406590
2010,2,2010-02-01,0,0
2010,3,2010-03-01,7107759,4654680
2010,4,2010-04-01,9177003,5383292
2010,5,2010-05-01,10037140,5219684
2010,6,2010-06-01,30288648,16497642
2010,7,2010-07-01,25807191,12894464
2010,8,2010-08-01,10331246,4974934
2010,9,2010-09-01,38739442,19171803
2010,10,2010-10-01,29551636,14261385
2010,11,2010-11-01,43812854,22356111
2010,12,2010-12-01,8045171,4098233
2011,1,2011-01-01,30503618,16302801
2011,2,2011-02-01,0,0
2011,3,2011-03-01,15331624,8851013
2011,4,2011-04-01,39744334,23648982
2011,5,2011-05-01,56360927,35599250
2011,6,2011-06-01,34991639,23438286
2011,7,2011-07-01,43440663,29992642
2011,8,2011-08-01,45783995,33769095
2011,9,2011-09-01,54393785,40866068
2011,10,2011-10-01,40116685,28779543
2011,11,2011-11-01,0,0
2011,12,2011-12-01,8112690,6022434
2012,1,2012-01-01,0,0
2012,2,2012-02-01,0,0
2012,3,2012-03-01,0,0
2012,4,2012-04-01,33827671,22520979
2012,5,2012-05-01,34316317,23539438
2012,6,2012-06-01,107355041,73583822
2012,7,2012-07-01,42571499,29529897
2012,8,2012-08-01,8649000,6071893
2012,9,2012-09-01,0,0
2012,10,2012-10-01,41748229,28714950
2012,11,2012-11-01,42570743,29417962
2012,12,2012-12-01,29285406,19388159
2013,1,2013-01-01,0,0
2013,2,2013-02-01,3000000,1835960
2013,3,2013-03-01,0,0
2013,4,2013-04-01,3500280,1969571
2013,5,2013-05-01,43712153,24187810
2013,6,2013-06-01,31863507,18234543
2013,7,2013-07-01,59617739,34285381
2013,8,2013-08-01,28221460,15723803
2013,9,2013-09-01,23854134,12466427
2013,10,2013-10-01,104463556,55790956
2013,11,2013-11-01,38541580,19982134
2013,12,2013-12-01,21289647,10459212
2014,1,2014-01-01,17566539,8251804
2014,2,2014-02-01,25014765,9926056
2014,3,2014-03-01,28280601,11294412
2014,4,2014-04-01,10063370,3751704
2014,5,2014-05-01,48142412,19607494
2014,6,2014-06-01,35038520,14418997
2014,7,2014-07-01,93164257,39227886
2014,8,2014-08-01,60643271,27055078
2014,9,2014-09-01,30910484,13913095
2014,10,2014-10-01,69132686,31070631
2014,11,2014-11-01,62566203,28672465
2014,12,2014-12-01,7737854,3529377
2015,1,2015-01-01,14295646,6326752
2015,2,2015-02-01,42669272,19358012
2015,3,2015-03-01,10055112,4599272
2015,4,2015-04-01,18098492,8320034
2015,5,2015-05-01,23948298,10770945
2015,6,2015-06-01,40635271,17066145
2015,7,2015-07-01,17386980,7693641
2015,8,2015-08-01,61438582,25815211
2015,9,2015-09-01,88807112,37576924
2015,10,2015-10-01,40048831,16263918
2015,11,2015-11-01,23936357,9165035
2015,12,2015-12-01,24229766,8976941
2016,1,2016-01-01,0,0
2016,2,2016-02-01,14008146,4805702
2016,3,2016-03-01,8976100,3863665
2016,4,2016-04-01,18066534,5103248
2016,5,2016-05-01,50783760,14223178
2016,6,2016-06-01,7150088,2154884
2016,7,2016-07-01,72533348,20846011
2016,8,2016-08-01,35824874,10154501
2016,9,2016-09-01,29602665,7937267
2016,10,2016-10-01,25613041,7109652
2016,11,2016-11-01,0,0
2016,12,2016-12-01,5006440,1474047
2017,1,2017-01-01,129030846,36560382
2017,2,2017-02-01,12593650,3810844
2017,3,2017-03-01,23312647,6670229
2017,4,2017-04-01,24266410,7299900
2017,5,2017-05-01,24557327,7565758
2017,6,2017-06-01,34021708,11038075
2017,7,2017-07-01,33710561,11068336
2017,8,2017-08-01,74323943,24412470
2017,9,2017-09-01,52329945,17794682
2017,10,2017-10-01,42192650,14944853
2017,11,2017-11-01,28453702,9762745
2017,12,2017-12-01,64937772,22181557
2018,1,2018-01-01,32181898,11339290
2018,2,2018-02-01,12014476,4192212
2018,3,2018-03-01,5006521,1700603
2018,4,2018-04-01,25382002,8078513
2018,5,2018-05-01,5239451,1637087
2018,6,2018-06-01,3250000,1212686
2018,7,2018-07-01,94528086,34366165
2018,8,2018-08-01,74571974,27836186
2018,9,2018-09-01,118035657,44905417
2018,10,2018-10-01,21345601,8429033
2018,11,2018-11-01,116173950,46890619
2018,12,2018-12-01,35844049,14446503
2019,1,2019-01-01,51351080,21310305
2019,2,2019-02-01,31533719,12844745
2019,3,2019-03-01,36167014,14769262
2019,4,2019-04-01,22930000,9808073
2019,5,2019-05-01,32645088,13611002
2019,6,2019-06-01,13650000,5885899
2019,7,2019-07-01,34355000,14313928
2019,8,2019-08-01,53027320,21692788
2019,9,2019-09-01,27600000,11502935
2019,10,2019-10-01,38300350,15805431
2019,11,2019-11-01,102762671,41032220
2019,12,2019-12-01,42666000,17006968
2020,1,2020-01-01,14020000,5273427
2020,2,2020-02-01,24200000,8175058
2020,3,2020-03-01,4700000,1485918
2020,4,2020-04-01,3000000,1000942
2020,5,2020-05-01,7605000,2109308
2020,6,2020-06-01,59787000,16283661
2020,7,2020-07-01,31280000,8671278
2020,8,2020-08-01,21776190,5694603
2020,9,2020-09-01,52045140,13287939
2020,10,2020-10-01,21793000,5599003
2020,11,2020-11-01,104027960,28222936
2020,12,2020-12-01,15000000,4028477
2021,1,2021-01-01,25744000,7099585
2021,2,2021-02-01,30459080,8384115
2021,3,2021-03-01,62534550,15933181
2021,4,2021-04-01,14326080,3916405
2021,5,2021-05-01,17530560,4297815
2021,6,2021-06-01,18017230,4533227
2021,7,2021-07-01,30727000,9140619
2021,8,2021-08-01,37245000,12309526
2021,9,2021-09-01,44823530,18260074
2021,10,2021-10-01,30380690,9977333
2021,11,2021-11-01,96803720,34907543
2021,12,2021-12-01,51541887,27579371
2022,1,2022-01-01,74257790,46241783
2022,2,2022-02-01,28116669,15884318
2022,3,2022-03-01,60942901,30390293
2022,4,2022-04-01,53101926,35259266
2022,5,2022-05-01,88811376,61812204
2022,6,2022-06-01,80033240,43914523
2022,7,2022-07-01,84173928,64604054
2022,8,2022-08-01,51083060,41131814
2022,9,2022-09-01,42864096,35131424
2022,10,2022-10-01,27228398,28505032
2022,11,2022-11-01,43310276,29172036
2022,12,2022-12-01,19672792,13449775
2023,1,2023-01-01,47831839,46319264
2023,2,2023-02-01,14051459,7528411
2023,3,2023-03-01,5000000,2337147
2023,4,2023-04-01,53518228,35388956
2023,5,2023-05-01,58814676,30162826
2023,6,2023-06-01,63835431,20966415
2023,7,2023-07-01,93727020,50257391
2023,8,2023-08-01,37734795,17974436
2023,9,2023-09-01,73775000,27810060
2023,10,2023-10-01,37437366,10574065
2023,11,2023-11-01,40455684,12560423
2023,12,2023-12-01,18978039,7381468
2024,1,2024-01-01,23066426,6461393
2024,2,2024-02-01,50147519,16318801
2024,3,2024-03-01,59842668,14919266
2024,4,2024-04-01,70232266,20088711
2024,5,2024-05-01,156144184,45014789
2024,6,2024-06-01,132817877,35560778
2024,7,2024-07-01,68002208,21753351
2024,8,2024-08-01,73074320,18784784
