CO_ANO,CO_MES,KG_LIQUIDO,VL_FOB,km
1997,4,4025970.0,1028636.0,1
1997,5,2610389.0,660428.0,1
1997,7,5549943.0,1453386.0,1
1997,8,10823780.0,2778760.0,1
1997,9,2600000.0,624000.0,1
1997,10,6900000.0,1656000.0,1
1997,10,17244625.0,4537242.0,1
1997,11,10742193.0,2905814.0,1
1997,12,4499308.0,1205798.0,1
1997,12,8708794.0,2407828.0,1
1998,4,8049864.0,2160464.0,1
1998,5,4541333.0,1278000.0,1
1998,5,3150000.0,856800.0,1
1998,5,10675308.0,2912990.0,1
1998,6,3500000.0,987000.0,1
1998,7,4915000.0,1366380.0,1
1998,7,4950000.0,1366200.0,1
1998,8,2999103.0,844340.0,1
1998,8,4998505.0,1407232.0,1
1998,9,4063000.0,1155713.0,1
1998,10,3436580.0,882226.0,1
1998,10,3000000.0,847761.0,1
1998,10,9150000.0,2513134.0,1
1998,11,10003000.0,2543809.0,1
1998,12,6000000.0,1724628.0,1
1999,2,2486015.0,697885.0,1
1999,6,11079249.0,2938195.0,1
1999,8,4500000.0,1222475.0,1
1999,9,15049960.0,3946110.0,1
1999,10,5000000.0,1361165.0,1
1999,10,4000000.0,970873.0,1
1999,10,10500000.0,2773203.0,1
1999,11,3800000.0,919354.0,1
1999,11,5659000.0,1522453.0,1
1999,11,4770716.0,1248340.0,1
1999,12,5000000.0,1205787.0,1
1999,12,18066131.0,4731563.0,1
2000,1,2500000.0,639423.0,1
2000,2,3037724.0,795423.0,1
2000,4,4199530.0,1103876.0,1
2000,7,10000000.0,2684801.0,1
2000,7,2500000.0,655660.0,1
2000,8,12000000.0,3212375.0,1
2000,8,15352719.0,3929926.0,1
2000,9,4554049.0,1172831.0,1
2000,10,18726114.0,4975256.0,1
2000,11,3000000.0,740755.0,1
2000,11,17024980.0,4349737.0,1
2000,12,3061420.0,784134.0,1
2001,5,3500000.0,925756.0,1
2001,6,12501268.0,3299383.0,1
2001,8,8979465.0,2151812.0,1
2001,8,9000204.0,2212740.0,1
2001,8,15450000.0,3536688.0,1
2001,9,5000000.0,1140453.0,1
2001,9,29994524.0,7316184.0,1
2001,9,5300000.0,1270096.0,1
2001,9,10975630.0,2584399.0,1
2001,10,10445237.0,2495949.0,1
2001,11,4578043.0,1059016.0,1
2001,11,10669381.0,2565697.0,1
2002,2,5116688.0,1272962.0,1
2002,4,3900000.0,857969.0,1
2002,5,4940594.0,1245152.0,1
2002,5,8247082.0,1802048.0,1
2002,6,13048321.0,2857178.0,1
2002,7,16550234.0,3558044.0,1
2002,7,11157136.0,2438891.0,1
2002,7,7026199.0,1539346.0,1
2002,8,11578561.0,2547405.0,1
2002,8,19500000.0,4283818.0,1
2002,8,3161789.0,688808.0,1
2002,10,6050000.0,1317555.0,1
2002,10,5325597.0,1133680.0,1
2002,11,9128190.0,2029997.0,1
2002,11,9214400.0,2003723.0,1
2003,2,4027538.0,944779.0,1
2003,3,7079036.0,1437072.0,1
2003,4,5775460.0,1158884.0,1
2003,5,8833527.0,1934692.0,1
2003,5,6999261.0,1480551.0,1
2003,6,5071641.0,1115269.0,1
2003,6,8300000.0,1925121.0,1
2003,7,26742878.0,5871766.0,1
2003,7,5002122.0,1056026.0,1
2003,9,6847800.0,1558365.0,1
2003,9,7000581.0,1522088.0,1
2003,9,38116086.0,8549052.0,1
2003,9,9006614.0,1688911.0,1
2003,10,11611437.0,2602692.0,1
