year,month,Product,UF,kg,US$_fob,km
2012,1,Soy Group,GO,27779695,12965982,0
2012,1,Soy Group,MG,62814227,28668856,0
2012,1,Soy Group,MS,16523350,7307431,0
2012,1,Soy Group,MT,180167491,82378182,0
2012,1,Soy Group,PR,149424320,66798126,0
2012,1,Soy Group,RS,129711849,58226379,0
2012,1,Soy Group,SC,15301180,6763444,0
2012,1,Soy Group,SP,11562960,4906694,0
2012,2,Soy Group,GO,158849014,73045170,0
2012,2,Soy Group,MG,33265852,15271597,0
2012,2,Soy Group,MS,66011819,31622592,0
2012,2,Soy Group,MT,564873062,254501554,0
2012,2,Soy Group,PR,439833333,200270522,0
2012,2,Soy Group,RS,68283560,29863869,0
2012,2,Soy Group,SC,54654170,27413245,0
2012,2,Soy Group,SP,64282128,30165663,0
2012,3,Soy Group,GO,571540752,284058564,0
2012,3,Soy Group,MA,91796461,48037793,0
2012,3,Soy Group,MG,51360761,26000154,0
2012,3,Soy Group,MS,283377937,136377612,0
2012,3,Soy Group,MT,2170693829,1059423185,0
2012,3,Soy Group,PR,650858023,300411959,0
2012,3,Soy Group,RS,70248352,36071952,0
2012,3,Soy Group,SC,10892625,5044030,0
2012,3,Soy Group,SP,163969196,82883942,0
2012,3,Soy Group,TO,32436202,17154939,0
2012,4,Soy Group,BA,226953932,121341726,0
2012,4,Soy Group,GO,379336039,192124229,0
2012,4,Soy Group,MA,146828333,77118825,0
2012,4,Soy Group,MG,87191577,45129385,0
2012,4,Soy Group,MS,288546673,147807613,0
2012,4,Soy Group,MT,1264045175,642344466,0
2012,4,Soy Group,PR,944273988,469819628,0
2012,4,Soy Group,RO,70775955,35694471,0
2012,4,Soy Group,RS,284669493,150062664,0
2012,4,Soy Group,SC,171981062,83909061,0
2012,4,Soy Group,SP,282085466,146274661,0
2012,4,Soy Group,TO,110337003,58310713,0
2012,5,Soy Group,BA,360883620,194594772,0
2012,5,Soy Group,GO,602324238,312982907,0
2012,5,Soy Group,MA,177290467,95526825,0
2012,5,Soy Group,MG,201654440,106151279,0
2012,5,Soy Group,MS,287003155,150367153,0
2012,5,Soy Group,MT,2515015806,1331606169,0
2012,5,Soy Group,PI,52830773,28706622,0
2012,5,Soy Group,PR,1262525644,659280033,0
2012,5,Soy Group,RO,32280825,17601385,0
2012,5,Soy Group,RS,797765027,423245672,0
2012,5,Soy Group,SC,166412353,84669141,0
2012,5,Soy Group,SP,476294415,250036739,0
2012,5,Soy Group,TO,175396506,94331320,0
2012,6,Soy Group,BA,362914914,192846187,0
2012,6,Soy Group,GO,433664344,227804305,0
2012,6,Soy Group,MA,138691768,74875151,0
2012,6,Soy Group,MG,118215395,63093582,0
2012,6,Soy Group,MS,164294888,88046360,0
2012,6,Soy Group,MT,1469730179,793292850,0
2012,6,Soy Group,PA,14925200,7978549,0
2012,6,Soy Group,PI,25085648,13684976,0
2012,6,Soy Group,PR,854461164,454576748,0
2012,6,Soy Group,RO,26714916,15112862,0
2012,6,Soy Group,RS,802847919,434713777,0
2012,6,Soy Group,SC,69257128,37012559,0
2012,6,Soy Group,SP,163144775,85949153,0
2012,6,Soy Group,TO,89481594,48254272,0
2012,7,Soy Group,BA,366950681,191994555,0
2012,7,Soy Group,GO,429089463,237615191,0
2012,7,Soy Group,MA,181532626,101091756,0
2012,7,Soy Group,MG,91642152,49497095,0
2012,7,Soy Group,MS,121678555,63975092,0
2012,7,Soy Group,MT,918151807,498837571,0
2012,7,Soy Group,PA,21143789,11952983,0
2012,7,Soy Group,PI,41218200,22465906,0
2012,7,Soy Group,PR,759778370,418192929,0
2012,7,Soy Group,RO,65988606,36409656,0
2012,7,Soy Group,RS,769611034,421437228,0
2012,7,Soy Group,SC,44836823,24341318,0
2012,7,Soy Group,SP,82310688,44322984,0
2012,7,Soy Group,TO,82335466,45244671,0
2012,8,Soy Group,BA,220090428,121575186,0
2012,8,Soy Group,GO,127767376,78529130,0
2012,8,Soy Group,MA,98785238,55932789,0
2012,8,Soy Group,MG,124484972,77935232,0
2012,8,Soy Group,MS,23747829,12626483,0
2012,8,Soy Group,MT,317983552,190314119,0
2012,8,Soy Group,PA,63939081,35727285,0
2012,8,Soy Group,PI,33826630,18702405,0
2012,8,Soy Group,PR,588204962,328423455,0
2012,8,Soy Group,RS,592528973,371186473,0
2012,8,Soy Group,SC,29597971,17085612,0
2012,8,Soy Group,SP,74245735,40724119,0
2012,8,Soy Group,TO,69404109,39212844,0
2012,9,Soy Group,BA,176960561,103356273,0
2012,9,Soy Group,GO,129096602,87862540,0
2012,9,Soy Group,MA,259855083,158359491,0
2012,9,Soy Group,MG,55883213,32709077,0
2012,9,Soy Group,MS,74978904,39950844,0
2012,9,Soy Group,MT,188209143,118321745,0
2012,9,Soy Group,PA,57157125,31634691,0
2012,9,Soy Group,PI,44378115,25097407,0
2012,9,Soy Group,PR,343195124,187077960,0
2012,9,Soy Group,RS,64542538,45508654,0
2012,9,Soy Group,SP,74190339,46072204,0
2012,9,Soy Group,TO,141988050,83303763,0
2012,10,Soy Group,BA,17325539,12465049,0
2012,10,Soy Group,GO,16802223,10733421,0
2012,10,Soy Group,MA,244189103,168417952,0
2012,10,Soy Group,MS,52189291,27031029,0
2012,10,Soy Group,MT,140346727,90835247,0
2012,10,Soy Group,PA,24097385,15160896,0
2012,10,Soy Group,PI,44756610,30406900,0
2012,10,Soy Group,PR,229413470,129316534,0
2012,10,Soy Group,RO,23390937,14442734,0
2012,10,Soy Group,SC,7842173,5533611,0
2012,10,Soy Group,TO,88182063,57031367,0
2012,11,Soy Group,GO,18725983,11130243,0
2012,11,Soy Group,MT,171648476,112922499,0
2012,11,Soy Group,PA,28513604,17726337,0
2012,11,Soy Group,PR,17866549,10192493,0
2012,12,Soy Group,MT,87513443,60912533,0
2012,12,Soy Group,PR,41537973,25113055,0
2013,2,Soy Group,DF,15000000,7462950,0
2013,2,Soy Group,GO,56866408,30954295,0
2013,2,Soy Group,MS,96523276,53423168,0
2013,2,Soy Group,MT,398299089,217292724,0
2013,2,Soy Group,PR,282717160,146738186,0
2013,2,Soy Group,SP,18467993,10289929,0
2013,3,Soy Group,GO,418019460,224508978,0
2013,3,Soy Group,MA,35342087,19920653,0
2013,3,Soy Group,MG,45527023,26025812,0
2013,3,Soy Group,MS,281922109,152598875,0
2013,3,Soy Group,MT,1351344347,735799245,0
2013,3,Soy Group,PR,668899061,357856495,0
2013,3,Soy Group,RS,39163233,21353913,0
2013,3,Soy Group,SC,26161899,13784636,0
2013,3,Soy Group,SP,453945502,242665789,0
2013,3,Soy Group,TO,36610470,20628377,0
2013,4,Soy Group,BA,415927675,223401123,0
2013,4,Soy Group,DF,18500000,9631215,0
2013,4,Soy Group,GO,620231967,324132402,0
2013,4,Soy Group,MA,182737665,97052051,0
2013,4,Soy Group,MG,393860244,212683172,0
2013,4,Soy Group,MS,474857067,251879640,0
2013,4,Soy Group,MT,2423068157,1284828588,0
2013,4,Soy Group,PI,9196519,4862282,0
2013,4,Soy Group,PR,859820057,451431184,0
2013,4,Soy Group,RS,738806359,391144109,0
2013,4,Soy Group,SC,148625674,77552023,0
2013,4,Soy Group,SP,508233502,274822852,0
2013,4,Soy Group,TO,144853188,77463830,0
2013,5,Soy Group,BA,315716546,164938396,0
2013,5,Soy Group,GO,712125112,368333348,0
2013,5,Soy Group,MA,158591358,83597875,0
2013,5,Soy Group,MG,255856963,134101493,0
2013,5,Soy Group,MS,457806817,235400125,0
2013,5,Soy Group,MT,2165104378,1128461588,0
2013,5,Soy Group,PA,27029803,14479966,0
2013,5,Soy Group,PI,33901297,17652566,0
