CO_ANO,CO_MES,KG_LIQUIDO,VL_FOB,km
1997,8,10823780.0,2778760.0,2
1997,10,17244625.0,4537242.0,2
1997,11,10742193.0,2905814.0,2
1997,12,8708794.0,2407828.0,2
1998,4,8049864.0,2160464.0,2
1998,5,10675308.0,2912990.0,2
1998,10,9150000.0,2513134.0,2
1998,11,10003000.0,2543809.0,2
1999,6,11079249.0,2938195.0,2
1999,9,15049960.0,3946110.0,2
1999,10,10500000.0,2773203.0,2
1999,12,18066131.0,4731563.0,2
2000,7,10000000.0,2684801.0,2
2000,8,12000000.0,3212375.0,2
2000,8,15352719.0,3929926.0,2
2000,10,18726114.0,4975256.0,2
2000,11,17024980.0,4349737.0,2
2001,6,12501268.0,3299383.0,2
2001,8,8979465.0,2151812.0,2
2001,8,9000204.0,2212740.0,2
2001,8,15450000.0,3536688.0,2
2001,9,29994524.0,7316184.0,2
2001,9,10975630.0,2584399.0,2
2001,10,10445237.0,2495949.0,2
2001,11,10669381.0,2565697.0,2
2002,5,8247082.0,1802048.0,2
2002,6,13048321.0,2857178.0,2
2002,7,16550234.0,3558044.0,2
2002,7,11157136.0,2438891.0,2
2002,8,11578561.0,2547405.0,2
2002,8,19500000.0,4283818.0,2
2002,11,9128190.0,2029997.0,2
2002,11,9214400.0,2003723.0,2
2003,5,8833527.0,1934692.0,2
2003,7,26742878.0,5871766.0,2
2003,9,38116086.0,8549052.0,2
2003,9,9006614.0,1688911.0,2
2003,10,11611437.0,2602692.0,2
2003,11,11650000.0,2177980.0,2
2003,12,17457572.0,3872387.0,2
2004,1,7010307.0,1181356.0,2
2004,2,8293555.0,1977656.0,2
2004,3,5059772.0,1022982.0,2
2004,3,10765364.0,2006165.0,2
2004,4,11540000.0,2541724.0,2
2004,5,6521600.0,1500557.0,2
2004,6,7132961.0,1677396.0,2
2004,7,28961685.0,7355496.0,2
2004,8,6851400.0,1856672.0,2
2004,8,19505000.0,5588852.0,2
2004,9,36351657.0,10331491.0,2
2004,9,21635465.0,6377644.0,2
2004,9,7222309.0,2151114.0,2
2004,10,17629145.0,5178057.0,2
2004,11,7831635.0,2385812.0,2
2004,12,5752670.0,1717714.0,2
2005,8,7040477.0,2260473.0,2
2005,8,14806218.0,4886558.0,2
2005,8,6300690.0,2090282.0,2
2005,9,9732772.0,3185563.0,2
2005,9,8704315.0,2970578.0,2
2005,10,9974000.0,3425297.0,2
2005,11,25003917.0,8066121.0,2
2005,11,19089283.0,6459204.0,2
2005,12,8993305.0,3022861.0,2
2006,5,7004215.0,2044346.0,2
2006,6,7233771.0,2048073.0,2
