CO_ANO,CO_MES,mm,date
2001,12,23.2,2001-12-01
2002,1,0.0,2002-01-01
2002,2,0.0,2002-02-01
2002,3,28.0,2002-03-01
2002,4,17.8,2002-04-01
2002,5,22.3,2002-05-01
2002,6,2.1,2002-06-01
2002,7,1.2000000000000002,2002-07-01
2002,8,8.4,2002-08-01
2002,9,7.2,2002-09-01
2002,10,19.4,2002-10-01
2002,11,57.300000000000004,2002-11-01
2002,12,237.79999999999998,2002-12-01
2003,1,39.6,2003-01-01
2003,2,122.7,2003-02-01
2003,3,124.9,2003-03-01
2003,4,100.1,2003-04-01
2003,5,7.1,2003-05-01
2003,6,0.0,2003-06-01
2003,7,1.9,2003-07-01
2003,8,11.8,2003-08-01
2003,9,29.400000000000002,2003-09-01
2003,10,28.3,2003-10-01
2003,11,93.0,2003-11-01
2003,12,111.6,2003-12-01
2004,1,348.8,2004-01-01
2004,2,311.2,2004-02-01
2004,3,268.2,2004-03-01
2004,4,55.6,2004-04-01
2004,5,1.0,2004-05-01
2004,6,2.0,2004-06-01
2004,7,0.0,2004-07-01
2004,8,0.0,2004-08-01
2004,9,0.8,2004-09-01
2004,10,39.4,2004-10-01
2004,11,152.6,2004-11-01
2004,12,102.0,2004-12-01
2005,1,3.0,2005-01-01
2005,2,0.0,2005-02-01
2005,3,75.6,2005-03-01
2005,4,1.4,2005-04-01
2005,5,0.2,2005-05-01
2005,6,0.0,2005-06-01
2005,7,0.0,2005-07-01
2005,8,0.0,2005-08-01
2005,9,8.200000000000001,2005-09-01
2005,10,1.0,2005-10-01
2005,11,2.0,2005-11-01
2005,12,171.4,2005-12-01
2006,1,2.2,2006-01-01
2006,2,0.8,2006-02-01
2006,3,83.19999999999999,2006-03-01
2006,4,57.2,2006-04-01
2006,5,8.6,2006-05-01
2006,6,0.0,2006-06-01
2006,7,0.0,2006-07-01
2006,8,1.2,2006-08-01
2006,9,7.2,2006-09-01
2006,10,63.6,2006-10-01
2006,11,22.700000000000003,2006-11-01
2006,12,0.0,2006-12-01
2007,1,0.4,2007-01-01
2007,2,0.30000000000000004,2007-02-01
2007,3,0.0,2007-03-01
2007,4,8.8,2007-04-01
2007,5,0.4,2007-05-01
2007,6,0.0,2007-06-01
2007,7,0.0,2007-07-01
2007,8,0.0,2007-08-01
2007,9,0.0,2007-09-01
2007,10,0.4,2007-10-01
2007,11,2.4000000000000004,2007-11-01
2007,12,0.4,2007-12-01
2008,1,10.0,2008-01-01
2008,2,69.2,2008-02-01
2008,3,110.4,2008-03-01
2008,4,101.6,2008-04-01
2008,5,0.4,2008-05-01
2008,6,0.0,2008-06-01
2008,7,0.0,2008-07-01
