CO_ANO,CO_MES,FOB_ton,date
2009,1,174.02444259403882,2009-01-01
2009,2,265.82535759995494,2009-02-01
2009,3,84.85023073896333,2009-03-01
2009,4,334.6678696981206,2009-04-01
2009,5,292.1769950259115,2009-05-01
2009,6,563.3172354306142,2009-06-01
2009,7,283.25983105233536,2009-07-01
2009,8,391.49271942768297,2009-08-01
2009,9,377.58516732362006,2009-09-01
2009,10,312.66673908759486,2009-10-01
2009,11,436.1760081493456,2009-11-01
2009,12,187.60431185911656,2009-12-01
2010,1,373.9303505940046,2010-01-01
2010,2,254.4872271307464,2010-02-01
2010,3,474.42696689873816,2010-03-01
2010,4,446.21333247882825,2010-04-01
2010,5,352.4156273690541,2010-05-01
2010,6,363.71027447374735,2010-06-01
2010,7,375.44366488564305,2010-07-01
2010,8,337.94046925976437,2010-08-01
2010,9,343.6913834574949,2010-09-01
2010,10,395.0926896085028,2010-10-01
2010,11,404.5539506942805,2010-11-01
2010,12,324.48774524301524,2010-12-01
2011,1,415.23252282762735,2011-01-01
2011,2,311.92114010621634,2011-02-01
2011,3,511.98397173611386,2011-03-01
2011,4,456.0471017795658,2011-04-01
2011,5,476.4766977100987,2011-05-01
2011,6,492.34942594159963,2011-06-01
2011,7,472.753793420072,2011-07-01
2011,8,479.54387513581486,2011-08-01
2011,9,593.0364257307193,2011-09-01
2011,10,536.8687958439672,2011-10-01
2011,11,642.6440464841704,2011-11-01
2011,12,618.3828592386168,2011-12-01
2012,1,399.4803330970943,2012-01-01
2012,2,581.2737768240852,2012-02-01
2012,3,466.40410946638536,2012-03-01
2012,4,461.8329815348908,2012-04-01
2012,5,478.70648800919776,2012-05-01
2012,6,512.0485856351908,2012-06-01
2012,7,395.83222932066883,2012-07-01
2012,8,506.66429881537846,2012-08-01
2012,9,548.9490159011259,2012-09-01
2012,10,485.6682381909966,2012-10-01
2012,11,471.8639285464286,2012-11-01
2012,12,448.0510421493071,2012-12-01
2013,1,359.79764737038226,2013-01-01
2013,2,285.19937489742364,2013-02-01
2013,3,463.4050597083322,2013-03-01
2013,4,468.23800988293476,2013-04-01
2013,5,428.7665599313246,2013-05-01
2013,6,431.3083654275717,2013-06-01
2013,7,418.88193976775665,2013-07-01
2013,8,395.501817990226,2013-08-01
2013,9,415.82429904753764,2013-09-01
2013,10,386.5880782845768,2013-10-01
2013,11,355.4295887704558,2013-11-01
2013,12,438.8097560560799,2013-12-01
2014,1,382.7609963251301,2014-01-01
2014,2,338.0801335353161,2014-02-01
2014,3,296.05142368521905,2014-03-01
2014,4,289.5617747062593,2014-04-01
2014,5,365.32076211789087,2014-05-01
2014,6,400.76767720420213,2014-06-01
2014,7,353.982891181082,2014-07-01
2014,8,325.07947661409156,2014-08-01
2014,9,400.3308214742621,2014-09-01
2014,10,357.44886339603033,2014-10-01
2014,11,360.8292989102331,2014-11-01
2014,12,330.50838496869454,2014-12-01
2015,1,383.506830125733,2015-01-01
2015,2,381.7577945600545,2015-02-01
2015,3,327.57350177527024,2015-03-01
2015,4,365.2461437288611,2015-04-01
2015,5,435.6285675586592,2015-05-01
2015,6,367.409833342883,2015-06-01
2015,7,357.03600673703676,2015-07-01
2015,8,368.7129612123825,2015-08-01
2015,9,360.03336607255284,2015-09-01
2015,10,318.8253018697959,2015-10-01
2015,11,401.3712499399238,2015-11-01
2015,12,255.25707967959718,2015-12-01
2016,1,359.22156040154806,2016-01-01
2016,2,274.2279375547352,2016-02-01
2016,3,382.62286184545735,2016-03-01
2016,4,243.0530410509524,2016-04-01
2016,5,272.6998175151799,2016-05-01
2016,6,332.8916148085905,2016-06-01
2016,7,253.97173478972556,2016-07-01
2016,8,271.23208195239147,2016-08-01
2016,9,242.74207704236795,2016-09-01
2016,10,274.728249700335,2016-10-01
2016,11,417.8640078974245,2016-11-01
2016,12,364.83558340190814,2016-12-01
2017,1,248.17543390641833,2017-01-01
2017,2,285.64544983809543,2017-02-01
2017,3,266.87292321528304,2017-03-01
2017,4,294.5190963346454,2017-04-01
2017,5,296.3681053699709,2017-05-01
2017,6,267.3031631065113,2017-06-01
2017,7,320.13926713708474,2017-07-01
2017,8,304.2411796439072,2017-08-01
2017,9,256.8322718275763,2017-09-01
2017,10,272.5125870917147,2017-10-01
2017,11,298.6427483736103,2017-11-01
2017,12,269.4890973766888,2017-12-01
2018,1,295.1685048679814,2018-01-01
2018,2,283.8625702840717,2018-02-01
2018,3,369.9862522397012,2018-03-01
2018,4,326.10066187646265,2018-04-01
2018,5,383.9169134508413,2018-05-01
2018,6,324.9881278501115,2018-06-01
2018,7,301.5759766003741,2018-07-01
2018,8,299.6313932544934,2018-08-01
2018,9,303.58423665316445,2018-09-01
2018,10,340.43315003728156,2018-10-01
2018,11,321.25103658006446,2018-11-01
2018,12,295.11713270810236,2018-12-01
2019,1,371.6512236767066,2019-01-01
2019,2,343.52805925016077,2019-02-01
2019,3,303.4952112264501,2019-03-01
2019,4,309.29778093149736,2019-04-01
2019,5,304.07331754809087,2019-05-01
2019,6,340.65778160507597,2019-06-01
2019,7,311.36163164646905,2019-07-01
2019,8,300.54873712972295,2019-08-01
2019,9,336.969897325777,2019-09-01
2019,10,292.3296937528893,2019-10-01
2019,11,294.92944129421596,2019-11-01
2019,12,292.21151118822087,2019-12-01
2020,1,262.49710845909954,2020-01-01
2020,2,242.03688902148514,2020-02-01
2020,3,292.5425109746433,2020-03-01
2020,4,244.87520671948548,2020-04-01
2020,5,293.27250589240606,2020-05-01
2020,6,253.2750612443187,2020-06-01
2020,7,271.8117398944894,2020-07-01
2020,8,237.2552141728742,2020-08-01
2020,9,252.90342350330323,2020-09-01
2020,10,229.89742173927067,2020-10-01
2020,11,230.08106834701405,2020-11-01
2020,12,244.71254639610123,2020-12-01
2021,1,243.69546562253447,2021-01-01
2021,2,284.92464481970813,2021-02-01
2021,3,238.4389217347575,2021-03-01
2021,4,255.70619054235237,2021-04-01
2021,5,304.95629948306606,2021-05-01
2021,6,355.0497996975503,2021-06-01
2021,7,313.07873894799144,2021-07-01
2021,8,391.3543066575295,2021-08-01
2021,9,404.99639332479904,2021-09-01
2021,10,329.98362871746025,2021-10-01
2021,11,377.69351896350656,2021-11-01
2021,12,395.68549959937536,2021-12-01
2022,1,467.5050383401863,2022-01-01
2022,2,514.7280884901514,2022-02-01
2022,3,484.5546996059219,2022-03-01
2022,4,639.4939415262712,2022-04-01
2022,5,603.00705421282,2022-05-01
2022,6,608.1444727471389,2022-06-01
2022,7,635.8375354393959,2022-07-01
2022,8,687.5232795865181,2022-08-01
2022,9,780.1934602910004,2022-09-01
2022,10,628.2969455064803,2022-10-01
2022,11,551.2212626555587,2022-11-01
2022,12,465.8718445787609,2022-12-01
2023,1,697.4834443470885,2023-01-01
2023,2,627.5588130682999,2023-02-01
2023,3,383.4895909770412,2023-03-01
2023,4,453.3243675677738,2023-04-01
2023,5,415.73284391812564,2023-05-01
2023,6,325.4838107115929,2023-06-01
2023,7,426.5846112802569,2023-07-01
2023,8,421.1697595569619,2023-08-01
2023,9,363.4335818223198,2023-09-01
2023,10,261.3165000660406,2023-10-01
2023,11,385.97663467581765,2023-11-01
2023,12,385.383524493613,2023-12-01
2024,1,250.06353810240134,2024-01-01
