CO_ANO,CO_MES,CO_NCM,nick,SG_UF_NCM,CO_PAIS,CO_URF,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
1997,1,31021010,UREIA,ZN,999,260151,32000,7360,1120,0
1997,1,31022100,SAM,GO,23,817800,1900000,184300,19000,0
1997,1,31022100,SAM,MG,23,817800,2815000,266055,28150,1004
1997,1,31022100,SAM,MG,87,817800,3000000,291000,54000,900
1997,1,31022100,SAM,MG,249,817800,4300000,422050,77400,1600
1997,1,31022100,SAM,RS,603,417600,1000000,103000,12000,699
1997,1,31022100,SAM,SP,23,817800,2432150,235919,23850,838
1997,1,31022100,SAM,SP,87,817800,3000000,291000,54000,2392
1997,1,31022100,SAM,SP,249,817800,11350000,1099550,204300,7259
1997,1,31022100,SAM,SP,999,817700,12,10,136,0
1997,1,31022100,SAM,ZN,603,920151,3071000,322455,46065,0
1997,1,31022100,SAM,ZN,676,417600,1575000,162225,18900,0
1997,1,31022100,SAM,ZN,999,260151,30000,9570,1050,0
1997,1,31042090,MOP,BA,23,517600,59400,10128,5824,41
1997,1,31042090,MOP,MG,23,817800,300000,37800,3600,60
1997,1,31042090,MOP,MG,999,817800,400000,52400,4800,262
1997,1,31042090,MOP,PR,383,1015400,289231,35125,4500,90
1997,1,31042090,MOP,RS,23,1010500,934530,116816,15000,0
1997,1,31042090,MOP,RS,23,1015400,525000,75900,6000,150
1997,1,31042090,MOP,RS,149,417600,6600000,828286,79200,5486
1997,1,31042090,MOP,RS,383,1015400,3856419,544924,48000,2506
1997,1,31042090,MOP,SP,23,817800,3700000,493200,44400,1996
1997,1,31042090,MOP,SP,999,817800,13100000,1729700,157200,14948
1997,1,31052000,NPK,RS,999,920151,75000,17025,1350,0
1997,1,31052000,NPK,SP,999,817800,300,143,26,1
1997,1,31052000,NPK,ZN,999,260151,192000,51840,6720,0
1997,1,31059090,NK,RS,249,1017600,396,2772,1607,0
1997,1,31059090,NK,SP,249,817800,9,40,2,0
1997,1,31059090,NK,SP,999,817800,6000,17460,933,87
1997,1,31059090,NK,SP,999,817800,3924,6255,341,32
1997,2,31021010,UREIA,RS,85,1015400,3832500,784440,43800,3450
1997,2,31021010,UREIA,RS,676,1015400,3509688,702034,35000,1050
1997,2,31022100,SAM,GO,603,817800,1000000,102375,8000,300
1997,2,31022100,SAM,MG,603,817800,5967897,524776,47685,2371
1997,2,31022100,SAM,PR,249,915100,1481250,168862,27000,450
1997,2,31022100,SAM,PR,573,1010500,575287,56345,9900,0
1997,2,31022100,SAM,RS,573,1010500,9792435,1022748,168896,2546
1997,2,31022100,SAM,SP,603,817800,9613691,943510,76779,4268
1997,2,31022100,SAM,SP,999,817700,30,23,124,0
1997,2,31022100,SAM,ZN,23,717600,350,2182,73,0
1997,2,31022100,SAM,ZN,603,817800,1100000,120530,8800,2058
1997,2,31042090,MOP,MG,23,817800,6500000,866500,78000,5187
1997,2,31042090,MOP,MG,149,817800,11638000,1548268,139656,5147
1997,2,31042090,MOP,PR,23,915100,2000000,282000,24000,1292
1997,2,31042090,MOP,PR,676,915100,1048760,133193,12600,0
1997,2,31042090,MOP,RS,23,1015400,525000,71700,6000,150
1997,2,31042090,MOP,RS,149,1010500,3009686,364172,36000,1316
1997,2,31042090,MOP,RS,383,1015400,1360690,171131,16644,416
1997,2,31042090,MOP,SP,23,817800,3000000,427500,36000,1806
1997,2,31042090,MOP,SP,149,817800,20017722,2637314,240132,11863
1997,2,31042090,MOP,SP,249,817800,2260,2885,565,0
1997,2,31042090,MOP,SP,999,817800,1000000,131000,12000,300
1997,2,31052000,NPK,PR,87,915100,5000,24454,672,0
1997,2,31052000,NPK,SP,23,817800,83916,135240,6631,218
1997,2,31052000,NPK,SP,999,817800,30000,99883,4800,167
1997,2,31052000,NPK,ZN,999,260151,31500,8505,1103,0
1997,2,31054000,MAP,SP,676,817800,1575000,374850,18900,1294
1997,2,31059090,NK,SP,23,817800,114912,173880,8526,283
1997,2,31059090,NK,SP,245,817800,16800,34830,1369,181
1997,3,31021010,UREIA,GO,999,727600,1050000,190050,12600,0
1997,3,31021010,UREIA,RS,676,1015400,525000,108450,6000,458
1997,3,31021010,UREIA,ZN,23,717700,43,808,216,0
1997,3,31021010,UREIA,ZN,676,440100,2398100,477222,28777,1954
1997,3,31022100,SAM,BA,249,510100,4003056,385794,72000,1574
1997,3,31022100,SAM,BA,249,517600,2001528,194148,36000,1393
1997,3,31022100,SAM,MG,23,727600,3008400,300840,30000,1033
1997,3,31022100,SAM,MG,23,817800,2500000,242500,25000,1855
1997,3,31022100,SAM,MG,249,915100,2099060,203609,36000,600
1997,3,31022100,SAM,MG,603,817800,9653458,1003878,76909,5097
1997,3,31022100,SAM,PR,23,915100,1301660,126261,23400,390
1997,3,31022100,SAM,PR,87,915100,4071370,394923,72000,1959
1997,3,31022100,SAM,PR,249,915100,4035930,452024,73991,1710
1997,3,31022100,SAM,PR,603,915100,5020440,517105,60762,2798
1997,3,31022100,SAM,SP,23,817800,10651000,1012147,106510,6624
1997,3,31022100,SAM,SP,603,817800,12330931,1276585,98227,7067
1997,3,31022100,SAM,SP,999,817700,18,13,114,0
1997,3,31022100,SAM,SP,999,817800,4190000,386701,33520,1257
1997,3,31022100,SAM,ZN,23,717600,7200,15582,681,0
1997,3,31022100,SAM,ZN,23,727600,2005600,185518,20000,666
1997,3,31022100,SAM,ZN,249,417600,1950000,189150,35100,1078
1997,3,31022100,SAM,ZN,249,510100,2001528,194148,36000,0
1997,3,31042090,MOP,GO,149,727600,6000000,816000,72000,0
1997,3,31042090,MOP,MG,149,817800,1000000,136000,12000,300
1997,3,31042090,MOP,PR,23,915100,12990450,1801677,156000,8268
1997,3,31042090,MOP,PR,383,915100,8503310,1157092,112500,7160
1997,3,31042090,MOP,RS,383,1010500,700,96600,10500,1528
1997,3,31042090,MOP,SP,149,817800,10154000,1360860,128550,7474
1997,3,31042090,MOP,SP,249,817800,3390,4327,1317,0
1997,3,31042090,MOP,ZN,676,440100,1000000,129000,12000,250
1997,3,31052000,NPK,RS,573,817800,39440,44550,2024,47
1997,3,31054000,MAP,GO,676,727600,3000000,676500,36000,0
1997,3,31054000,MAP,RS,676,1015400,5682460,1240197,85368,855
1997,3,31054000,MAP,SP,831,915100,450000,107100,5400,678
1997,3,31054000,MAP,ZN,676,440100,506300,115943,6076,588
1997,3,31054000,MAP,ZN,999,440100,600000,137400,7200,437
1997,3,31059090,NK,RS,249,925100,504,3579,306,20
1997,3,31059090,NK,RS,573,817800,1010,13069,51,14
1997,4,31021010,UREIA,BA,603,510100,531376,98305,5250,500
1997,4,31021010,UREIA,GO,676,915100,720410,126799,8638,216
1997,4,31021010,UREIA,PR,249,915100,1812430,332172,21600,1835
1997,4,31021010,UREIA,PR,383,910151,96,7169,416,0
1997,4,31021010,UREIA,PR,999,1015400,402492,69631,4830,120
1997,4,31021010,UREIA,RS,603,1010500,7564166,1361549,76473,2237
1997,4,31021010,UREIA,RS,676,1015400,3251340,589449,39017,1020
1997,4,31021010,UREIA,RS,999,1010500,869130,179258,8691,618
1997,4,31021010,UREIA,RS,999,1015400,7653358,1385258,91839,4854
1997,4,31021010,UREIA,ZN,23,717700,30,562,158,0
1997,4,31021010,UREIA,ZN,249,817800,1000,462,421,2
1997,4,31021010,UREIA,ZN,603,440100,1575000,291375,15750,763
1997,4,31021010,UREIA,ZN,676,440100,1260000,250740,15120,715
1997,4,31021010,UREIA,ZN,999,727600,4200000,777000,50400,2458
1997,4,31022100,SAM,BA,23,510100,4121450,403784,40720,1099
1997,4,31022100,SAM,BA,23,517600,2024292,216599,20000,1132
1997,4,31022100,SAM,BA,249,510100,4903750,475646,88218,0
1997,4,31022100,SAM,MG,23,817800,2100000,210000,21000,630
1997,4,31022100,SAM,MG,249,727600,1615000,156655,29070,589
1997,4,31022100,SAM,MG,249,817800,6175000,599925,111150,2296
1997,4,31022100,SAM,MG,603,817800,5595900,604761,44767,1679
1997,4,31022100,SAM,MG,999,817800,1000000,80000,8000,200
1997,4,31022100,SAM,PR,87,915100,9329020,905263,165599,5820
1997,4,31022100,SAM,PR,249,915100,972580,108435,18000,300
1997,4,31022100,SAM,PR,603,915100,1986830,199485,24000,662
1997,4,31022100,SAM,RS,87,1010500,1929000,216048,36000,1022
1997,4,31022100,SAM,RS,249,417600,7400000,717800,133200,5160
1997,4,31022100,SAM,RS,249,440100,953000,92441,17154,664
1997,4,31022100,SAM,SP,23,817800,4200000,399000,42000,1932
1997,4,31022100,SAM,SP,249,817800,2850000,272175,51300,943
1997,4,31022100,SAM,SP,603,817800,4500000,489600,36000,1350
1997,4,31022100,SAM,SP,999,817700,12,9,73,0
1997,4,31022100,SAM,SP,999,817800,2004542,172363,16036,541
1997,4,31022100,SAM,ZN,23,440100,4684000,444980,46840,1833
1997,4,31022100,SAM,ZN,249,417600,5600000,533200,100800,2381
1997,4,31022100,SAM,ZN,249,440100,53666234,5205625,965991,27087
1997,4,31022100,SAM,ZN,249,727600,2660000,258020,47880,970
1997,4,31022100,SAM,ZN,603,440100,7000000,749000,70000,3015
1997,4,31042090,MOP,BA,23,517600,39600,6222,3405,26
1997,4,31042090,MOP,BA,676,510100,1006493,129838,12600,0
1997,4,31042090,MOP,BA,676,517600,4025970,514318,50400,2276
1997,4,31042090,MOP,BA,999,510100,1973189,254541,24000,0
1997,4,31042090,MOP,GO,676,915100,1040480,119541,12600,315
1997,4,31042090,MOP,MG,23,817800,4700000,637200,56400,2816
1997,4,31042090,MOP,MG,149,817800,22250000,2931400,267000,6749
1997,4,31042090,MOP,MG,249,817800,1000000,141000,12000,300
1997,4,31042090,MOP,MG,249,915100,988120,139325,12000,300
1997,4,31042090,MOP,MG,383,817800,2200000,294200,26400,1199
