CO_ANO,CO_MES,KG_LIQUIDO,KG_LIQUIDO_pred_mm,KG_LIQUIDO_pred_s_mm,erro_mm,erro_s_mm,train_size_anos,ad
2007,8,53557361.0,58213561,62620730,4656200.0,9063369.0,5.0,1
2007,8,53557361.0,57891088,63464092,4333727.0,9906731.0,5.0,2
2007,8,53557361.0,60822722,60682063,7265361.0,7124702.0,5.0,5
2008,1,46410648.0,49772320,44668616,3361672.0,1742032.0,5.0,1
2008,1,46410648.0,43149520,47889064,3261128.0,1478416.0,5.0,3
2008,1,46410648.0,50923224,44403320,4512576.0,2007328.0,5.0,8
2008,6,48933900.0,55112461,52268698,6178561.0,3334798.0,5.0,1
2008,6,48933900.0,58204364,52072678,9270464.0,3138778.0,6.0,1
2008,6,48933900.0,52437109,55439722,3503209.0,6505822.0,5.0,6
2008,6,48933900.0,50715399,55425148,1781499.0,6491248.0,5.0,8
2016,5,85488183.0,72584456,52193725,12903727.0,33294458.0,5.0,1
2016,5,85488183.0,69217759,49499709,16270424.0,35988474.0,6.0,1
2016,5,85488183.0,72083673,48772387,13404510.0,36715796.0,7.0,1
2016,5,85488183.0,73472123,49520887,12016060.0,35967296.0,8.0,1
2016,5,85488183.0,70304528,48939060,15183655.0,36549123.0,9.0,1
2016,5,85488183.0,79245837,46288007,6242346.0,39200176.0,10.0,1
2016,5,85488183.0,84564150,45140993,924033.0,40347190.0,11.0,1
2016,5,85488183.0,76839562,46701091,8648621.0,38787092.0,12.0,1
2016,5,85488183.0,73000168,47893469,12488015.0,37594714.0,13.0,1
2016,5,85488183.0,55905415,55774948,29582768.0,29713235.0,5.0,8
2016,5,85488183.0,60712924,50890314,24775259.0,34597869.0,6.0,8
2016,5,85488183.0,56648008,46245951,28840175.0,39242232.0,7.0,8
2016,5,85488183.0,58024196,50049980,27463987.0,35438203.0,8.0,8
2016,5,85488183.0,66140725,49901073,19347458.0,35587110.0,9.0,8
2016,5,85488183.0,64089408,51218105,21398775.0,34270078.0,10.0,8
2016,5,85488183.0,55320645,50431901,30167538.0,35056282.0,11.0,8
2016,5,85488183.0,55267353,43277660,30220830.0,42210523.0,12.0,8
2016,5,85488183.0,60564414,51769003,24923769.0,33719180.0,13.0,8
2018,3,17337034.0,108795052,67553782,91458018.0,50216748.0,5.0,1
2018,3,17337034.0,84802011,66411619,67464977.0,49074585.0,6.0,1
2018,3,17337034.0,91648067,63930596,74311033.0,46593562.0,7.0,1
2018,3,17337034.0,97265307,69805489,79928273.0,52468455.0,8.0,1
2018,3,17337034.0,88542403,70997485,71205369.0,53660451.0,9.0,1
2018,3,17337034.0,95441752,69438523,78104718.0,52101489.0,10.0,1
2018,3,17337034.0,96107025,62470790,78769991.0,45133756.0,11.0,1
2018,3,17337034.0,95253924,67253140,77916890.0,49916106.0,12.0,1
2018,3,17337034.0,95812868,72258838,78475834.0,54921804.0,13.0,1
2018,3,17337034.0,92965888,69202028,75628854.0,51864994.0,14.0,1
2018,3,17337034.0,67238465,69964956,49901431.0,52627922.0,5.0,6
2018,3,17337034.0,72542576,63238812,55205542.0,45901778.0,6.0,6
2018,3,17337034.0,64113552,65662946,46776518.0,48325912.0,7.0,6
2018,3,17337034.0,67722823,66925078,50385789.0,49588044.0,8.0,6
2018,3,17337034.0,66774680,61930587,49437646.0,44593553.0,9.0,6
2018,3,17337034.0,76639511,66203536,59302477.0,48866502.0,10.0,6
2018,3,17337034.0,63071249,61732171,45734215.0,44395137.0,11.0,6
2018,3,17337034.0,58313211,68253961,40976177.0,50916927.0,12.0,6
2018,3,17337034.0,69522883,60517175,52185849.0,43180141.0,13.0,6
2018,3,17337034.0,66797078,72681053,49460044.0,55344019.0,14.0,6
2018,3,17337034.0,46444949,62049016,29107915.0,44711982.0,5.0,7
2018,3,17337034.0,44971024,63788176,27633990.0,46451142.0,6.0,7
2018,3,17337034.0,49056143,64302477,31719109.0,46965443.0,7.0,7
2018,3,17337034.0,51233969,65000892,33896935.0,47663858.0,8.0,7
2018,3,17337034.0,47815072,69225380,30478038.0,51888346.0,9.0,7
2018,3,17337034.0,49941128,67923420,32604094.0,50586386.0,10.0,7
2018,3,17337034.0,52351892,74094822,35014858.0,56757788.0,11.0,7
2018,3,17337034.0,52088133,64417771,34751099.0,47080737.0,12.0,7
2018,3,17337034.0,55652814,63870917,38315780.0,46533883.0,13.0,7
2018,3,17337034.0,55688780,70841167,38351746.0,53504133.0,14.0,7
2018,3,17337034.0,54055552,58553284,36718518.0,41216250.0,5.0,8
2018,3,17337034.0,61379511,75447961,44042477.0,58110927.0,6.0,8
2018,3,17337034.0,59695567,64113896,42358533.0,46776862.0,7.0,8
2018,3,17337034.0,59102988,71676504,41765954.0,54339470.0,8.0,8
2018,3,17337034.0,69754724,72415538,52417690.0,55078504.0,9.0,8
2018,3,17337034.0,57634910,65610845,40297876.0,48273811.0,10.0,8
2018,3,17337034.0,67128224,71085805,49791190.0,53748771.0,11.0,8
2018,3,17337034.0,64216467,66487382,46879433.0,49150348.0,12.0,8
2018,3,17337034.0,65971858,67444988,48634824.0,50107954.0,13.0,8
2018,3,17337034.0,69573708,73373587,52236674.0,56036553.0,14.0,8
2018,10,81927080.0,163535862,157860603,81608782.0,75933523.0,5.0,1
2018,10,81927080.0,168212713,154561880,86285633.0,72634800.0,6.0,1
2018,10,81927080.0,163641224,170860798,81714144.0,88933718.0,7.0,1
2018,10,81927080.0,172665977,157795280,90738897.0,75868200.0,8.0,1
2018,10,81927080.0,170378358,154948992,88451278.0,73021912.0,9.0,1
2018,10,81927080.0,168057571,173564355,86130491.0,91637275.0,10.0,1
2018,10,81927080.0,171073425,160804616,89146345.0,78877536.0,11.0,1
2018,10,81927080.0,161332299,165432386,79405219.0,83505306.0,12.0,1
2018,10,81927080.0,173740142,159829077,91813062.0,77901997.0,13.0,1
2018,10,81927080.0,164364420,149390964,82437340.0,67463884.0,14.0,1
2018,10,81927080.0,160503336,151760787,78576256.0,69833707.0,5.0,3
2018,10,81927080.0,166848857,160942460,84921777.0,79015380.0,6.0,3
2018,10,81927080.0,161508871,158697542,79581791.0,76770462.0,7.0,3
2018,10,81927080.0,157791914,167826267,75864834.0,85899187.0,8.0,3
2018,10,81927080.0,167862893,155987436,85935813.0,74060356.0,9.0,3
2018,10,81927080.0,168927180,153688478,87000100.0,71761398.0,10.0,3
2018,10,81927080.0,158105681,162630965,76178601.0,80703885.0,11.0,3
2018,10,81927080.0,173646387,163564074,91719307.0,81636994.0,12.0,3
2018,10,81927080.0,173308850,153641279,91381770.0,71714199.0,13.0,3
2018,10,81927080.0,166424274,176437948,84497194.0,94510868.0,14.0,3
2018,10,81927080.0,168704136,159961610,86777056.0,78034530.0,5.0,4
2018,10,81927080.0,166183451,154346091,84256371.0,72419011.0,6.0,4
2018,10,81927080.0,164177633,161586872,82250553.0,79659792.0,7.0,4
2018,10,81927080.0,159656511,150472072,77729431.0,68544992.0,8.0,4
2018,10,81927080.0,170883930,159554984,88956850.0,77627904.0,9.0,4
2018,10,81927080.0,158015308,178782028,76088228.0,96854948.0,10.0,4
2018,10,81927080.0,167874091,160920795,85947011.0,78993715.0,11.0,4
2018,10,81927080.0,169204450,145752335,87277370.0,63825255.0,12.0,4
2018,10,81927080.0,169167992,163539286,87240912.0,81612206.0,13.0,4
2018,10,81927080.0,169747829,167705958,87820749.0,85778878.0,14.0,4
2018,10,81927080.0,155332716,155747262,73405636.0,73820182.0,5.0,5
2018,10,81927080.0,151683692,150813152,69756612.0,68886072.0,6.0,5
2018,10,81927080.0,152964805,159878510,71037725.0,77951430.0,7.0,5
2018,10,81927080.0,156944665,156182681,75017585.0,74255601.0,8.0,5
2018,10,81927080.0,150186429,162151443,68259349.0,80224363.0,9.0,5
2018,10,81927080.0,160967127,162292179,79040047.0,80365099.0,10.0,5
2018,10,81927080.0,167521351,157946819,85594271.0,76019739.0,11.0,5
2018,10,81927080.0,169265383,164232598,87338303.0,82305518.0,12.0,5
2018,10,81927080.0,154987581,157372039,73060501.0,75444959.0,13.0,5
2018,10,81927080.0,163563261,150279079,81636181.0,68351999.0,14.0,5
2018,10,81927080.0,79894438,161863998,2032642.0,79936918.0,5.0,8
2018,10,81927080.0,73772413,168209895,8154667.0,86282815.0,6.0,8
2018,10,81927080.0,59109880,158855119,22817200.0,76928039.0,7.0,8
2018,10,81927080.0,70388283,157719689,11538797.0,75792609.0,8.0,8
2018,10,81927080.0,78563273,168899007,3363807.0,86971927.0,9.0,8
2018,10,81927080.0,91268392,160871339,9341312.0,78944259.0,10.0,8
2018,10,81927080.0,106825822,158124361,24898742.0,76197281.0,11.0,8
2018,10,81927080.0,100239553,158663644,18312473.0,76736564.0,12.0,8
2018,10,81927080.0,97160961,174261408,15233881.0,92334328.0,13.0,8
2018,10,81927080.0,83622210,158522691,1695130.0,76595611.0,14.0,8
2007,11,56522721.0,64477380,65874889,7954659.0,9352168.0,5.0,2
2007,11,56522721.0,69442821,61787135,12920100.0,5264414.0,5.0,3
2007,11,56522721.0,68032676,67772885,11509955.0,11250164.0,5.0,4
2007,11,56522721.0,65443324,66234480,8920603.0,9711759.0,5.0,5
2007,11,56522721.0,51566100,65550841,4956621.0,9028120.0,5.0,8
2018,4,44306118.0,92074307,43032805,47768189.0,1273313.0,5.0,2
2018,4,44306118.0,88454587,51532752,44148469.0,7226634.0,6.0,2
2018,4,44306118.0,89314191,53205407,45008073.0,8899289.0,7.0,2
2018,4,44306118.0,89457231,51971006,45151113.0,7664888.0,8.0,2
2018,4,44306118.0,86540889,46204521,42234771.0,1898403.0,9.0,2
2018,4,44306118.0,84787402,54511469,40481284.0,10205351.0,10.0,2
2018,4,44306118.0,84910444,55674290,40604326.0,11368172.0,11.0,2
2018,4,44306118.0,87074758,53392169,42768640.0,9086051.0,12.0,2
